,event_num,complaint_num,shift,tencode,tencode_desc,tencode_suffix,tencode_suffix_desc,disposition_code,disposition_desc,block,st_name,unit_disp,sector,zone,RPA,lat,lng,map_loc,call_date,call_time
0,PD202000357274,,,3,,,,6,,,,55S64,N,,,,,,05/03/2020,02:35:32 PM
1,PD202000177236,,,93,,,,9T,,,,316B,H,531,8817.0,,,,03/03/2020,07:42:44 PM
2,PD202000175702,,,71,,A,ALARM,11,,,,,MT,811,,,,,03/03/2020,07:26:25 AM
3,PD202000357461,,,96,,,,4,,,,220A,C,413,4311.0,,,,05/03/2020,04:09:03 PM
4,PD202000176143,,,43,,PM,,11,,,,,C,425N,4029.0,,,,03/03/2020,11:03:44 AM
5,PD202000360760,,,87,,P,PROGRESS,11,,,,,H,515,9311.0,,,,05/04/2020,03:10:51 PM
6,PD202000359218,,,96,,,,15,,,,411C,C,413N,1991.0,,,,05/04/2020,04:49:08 AM
7,PD202000359108,,,96,,,,15,,,,425C,PCW,,,,,,05/04/2020,03:32:36 AM
8,PD202000357092,20200313631.0,,50,,RV,,1,,,,712A,,,,,,,05/03/2020,12:37:43 PM
9,PD202000176531,20200152099.0,,43,,PM,,11,,300.0,PLUS PARK BLVD,113A,,321Y,0.0,36.129,-86.725,POINT (-86.725 36.129),03/03/2020,02:18:22 PM
10,PD202000177234,,,73,,P,PROGRESS,5,,,,3276,N,617,4353.0,,,,03/03/2020,07:40:44 PM
11,PD202000176535,,,44,,P,PROGRESS,11,,,,213A,E,213K,1243.0,,,,03/03/2020,02:19:59 PM
12,PD202000175994,,,43,,P,PROGRESS,11,,2100.0,HERMITAGE PARK DR,383A,,523,9543.0,,,,03/03/2020,09:52:29 AM
13,PD202000360523,,,43,,P,PROGRESS,4,,,,8E83,MT,833,8621.0,,,,05/04/2020,01:48:15 PM
14,PD202000360049,,,43,,P,PROGRESS,4,,,,WAPR,W,111K,4601.0,,,,05/04/2020,10:52:00 AM
15,PD202000357647,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,5161,MT,825,6415.0,,,,05/03/2020,04:54:11 PM
16,PD202000176895,,,43,,P,PROGRESS,4,,,,1E15,N,617,4301.0,,,,03/03/2020,05:22:37 PM
17,PD202000362029,,,44,,P,PROGRESS,2M,,,,415C,C,415K,4211.0,,,,05/04/2020,11:37:41 PM
18,PD202000176631,20200152153.0,,44,,P,PROGRESS,1,,,,3831,N,615N,5309.0,,,,03/03/2020,03:13:21 PM
19,PD202000361209,,,15,,P,PROGRESS,15,,,,2933,MT,821P,8005.0,,,,05/04/2020,05:41:36 PM
20,PD202000177465,,,96,,,,12,,3100.0,LEBANON PKE,533C,,333X,0.0,36.185,-86.63600000000001,POINT (-86.636 36.185),03/03/2020,08:56:38 PM
21,PD202000358077,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,821B,MT,823,6417.0,,,,05/03/2020,06:37:40 PM
22,PD202000176293,,,43,,P,PROGRESS,11,,,,825A,S,333,,,,,03/03/2020,12:26:02 PM
23,PD202000358651,,,87,,B,BANK/SECURITY ESCORT,4,,,,833C,MT,821,8019.0,,,,05/03/2020,10:00:53 PM
24,PD202000175358,,,43,,P,PROGRESS,10,,700.0,DICKERSON PKE,220C1,,,,,,,03/03/2020,03:36:06 AM
25,PD202000361122,20200316965.0,,54,,R,REPORT,1,,,,323B,,,,,,,05/04/2020,05:13:07 PM
26,PD202000361522,,,45,,P,PROGRESS,1,,,,115B,W,115N,5031.0,,,,05/04/2020,07:46:36 PM
27,PD202000175944,,,43,,P,PROGRESS,6,,,CENTRAL PKE,55S67,,523,9557.0,36.178000000000004,-86.6,POINT (-86.6 36.178),03/03/2020,09:25:05 AM
28,PD202000175947,,,71,,A,ALARM,11,,,,,W,115,,,,,03/03/2020,09:27:24 AM
29,PD202000358816,,,70,,A,ALARM,11,,,,217C,E,213N,1229.0,,,,05/03/2020,11:45:00 PM
30,PD202000176656,,,43,,PM,,11,,,,213A,E,213,1231.0,,,,03/03/2020,03:25:43 PM
31,PD202000358883,,,93,,,,9T,,,,211C,E,211,1115.0,,,,05/04/2020,12:30:40 AM
32,PD202000175416,,,45,,P,PROGRESS,10,,,,7F75,N,615K,54021.0,,,,03/03/2020,04:42:36 AM
33,PD202000358742,,,96,,,,15,,,,423C,C,423K,4079.0,,,,05/03/2020,10:55:41 PM
34,PD202000356675,,,96,,,,12,,,,821A,MT,821K,8015.0,,,,05/03/2020,07:36:16 AM
35,PD202000361820,,,71,,A,ALARM,12,,,,621C,N,625N,3133.0,,,,05/04/2020,09:56:28 PM
36,PD202000177702,,,96,,,,12,,,,627C,PCW,,,,,,03/03/2020,10:10:19 PM
37,PD202000360618,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,MT,835,,,,,05/04/2020,02:24:46 PM
38,PD202000358741,,,43,,PJ,,11,,,,323C,S,333N,8867.0,,,,05/03/2020,10:55:26 PM
39,PD202000358067,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,4,,,,3545,H,523,9509.0,,,,05/03/2020,06:35:19 PM
40,PD202000360764,,,45,,P,PROGRESS,1T,,3200.0,CLARKSVILLE PKE,622B,,231V,0.0,36.195,-86.833,POINT (-86.833 36.195),05/04/2020,03:12:44 PM
41,PD202000361835,,,96,,,,12,,,,5261,S,323K,8841.0,,,,05/04/2020,10:02:20 PM
42,PD202000356367,,,96,,,,15,,,,121C,W,121N,5015.0,,,,05/03/2020,03:20:56 AM
43,PD202000360101,,,43,,PV,,5,,,,313A,ECC,313N,8409.0,,,,05/04/2020,11:11:23 AM
44,PD202000356126,,,96,,,,12,,,,335C,S,333,8765.0,,,,05/03/2020,12:58:14 AM
45,PD202000360448,,,43,,P,PROGRESS,12,,0.0,FANT INDUSTRIAL DR,7F66,M,715,1715.0,36.281,-86.69200000000001,POINT (-86.692 36.281),05/04/2020,01:19:58 PM
46,PD202000356616,,,96,,,,4,,,,815C,MT,815K,6623.0,,,,05/03/2020,06:36:13 AM
47,PD202000358670,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,E,221,1859.0,,,,05/03/2020,10:11:25 PM
48,PD202000358950,,,43,,P,PROGRESS,4,,,,215C,E,213,1203.0,,,,05/04/2020,01:31:28 AM
49,PD202000360872,,,43,,P,PROGRESS,11,,900.0,SOUTH LANE CT,831B,S,833,8623.0,36.025,-86.756,POINT (-86.756 36.025),05/04/2020,03:46:12 PM
50,PD202000176906,,,40,,PV,,4,,100.0,GALLATIN PKE N,7F64,M,723,1763.0,,,,03/03/2020,05:26:34 PM
51,PD202000361034,,,75,,P,PROGRESS,1,,3800.0,CENTRAL PKE,514B,H,521,9529.0,36.174,-86.60799999999999,POINT (-86.608 36.174),05/04/2020,04:39:15 PM
52,PD202000359689,,,88,,PW,,11,,,,,H,515,9301.0,,,,05/04/2020,08:32:39 AM
53,PD202000358693,,,83,,P,PROGRESS,11,,,,,M,713,1633.0,,,,05/03/2020,10:20:50 PM
54,PD202000175325,,,43,,P,PROGRESS,4,,,,223A,E,215,1323.0,,,,03/03/2020,03:07:20 AM
55,PD202000358871,,,43,,PM,,11,,,,830C,MT,833,8615.0,,,,05/04/2020,12:21:38 AM
56,PD202000357172,,,96,,,,12,,,,831A,MT,831N,8661.0,,,,05/03/2020,01:23:38 PM
57,PD202000175964,,,83,,P,PROGRESS,11,,1600.0,17TH AV N,,,412Y,0.0,36.175,-86.807,POINT (-86.807 36.175),03/03/2020,09:37:29 AM
58,PD202000361179,,,93,,,,9T,,,,727B,M,727,1723.0,,,,05/04/2020,05:32:59 PM
59,PD202000360111,20200316151.0,,43,,RT,,1,,,,TE10,,,,,,,05/04/2020,11:14:45 AM
60,PD202000360342,,,43,,PM,,5,,,OLD HICKORY BLVD,5F64,,523,9557.0,36.168,-86.779,POINT (-86.779 36.168),05/04/2020,12:34:39 PM
61,PD202000358564,,,43,,PM,,4,,,,812B,MT,831N,8507.0,,,,05/03/2020,09:21:52 PM
62,PD202000177020,20200152445.0,,44,,R,REPORT,1,,,,825B,,,,,,,03/03/2020,06:24:40 PM
63,PD202000357168,,,87,,P,PROGRESS,11,,,,,W,111K,45024.0,,,,05/03/2020,01:21:39 PM
64,PD202000177824,,,95,,,,4,,,,821B,MT,823N,6925.0,,,,03/03/2020,10:51:48 PM
65,PD202000361467,20200317343.0,,43,,R,REPORT,1,,2100.0,CLIFF DR,623B,,,,,,,05/04/2020,07:24:22 PM
66,PD202000357412,,,44,,P,PROGRESS,11,,,,313B,S,315K,8801.0,,,,05/03/2020,03:43:46 PM
67,PD202000358466,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,55S64,W,117K,6117.0,,,,05/03/2020,08:37:07 PM
68,PD202000359152,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,815C,MT,811N,6727.0,,,,05/04/2020,03:58:59 AM
69,PD202000175590,,,43,,P,PROGRESS,4,,1100.0,TULIP GROVE RD,323A,,,,,,,03/03/2020,06:43:28 AM
70,PD202000359144,,,43,,P,PROGRESS,4,,500.0,DONELSON PKE,511C,,331Y,0.0,36.148,-86.666,POINT (-86.666 36.148),05/04/2020,03:55:41 AM
71,PD202000175585,,,70,,A,ALARM,11,,900.0,COINTREAU DR,,,,,,,,03/03/2020,06:42:01 AM
72,PD202000175637,,,70,,A,ALARM,12A,,,,331C,S,331,8767.0,,,,03/03/2020,07:01:17 AM
